method,faithfulness,answer_relevancy,context_precision,context_recall,answer_correctness,avg_retrieval_time_ms,avg_generation_time_ms,total_time_ms
BM25 (Sparse),0.7,0.77,0.62,0.77,0.6900000000000001,178.9006233215332,2465.3076887130737,2644.208312034607
Hybrid (alpha=0.2),0.79,0.8,0.62,0.77,0.78,81.72533512115479,2042.6946878433228,2124.4200229644775
Hybrid (alpha=0.4),0.77,0.8099999999999999,0.65,0.77,0.77,80.58602809906006,2666.7327880859375,2747.3188161849976
Hybrid (alpha=0.5),0.79,0.8,0.65,0.77,0.72,78.34982872009277,2491.973567008972,2570.323395729065
Hybrid (alpha=0.6),0.79,0.73,0.6599999999999999,0.77,0.79,81.73835277557373,2380.3752183914185,2462.113571166992
Hybrid (alpha=0.8),0.8099999999999999,0.72,0.63,0.77,0.72,78.23286056518555,2089.776587486267,2168.0094480514526
FAISS (Dense),0.8,0.8,0.63,0.77,0.6500000000000001,81.19254112243652,2412.85936832428,2494.0519094467163
