model_key,model_name,description,embedding_time_s,avg_precision,avg_recall,avg_f1,avg_mrr,avg_hit_rate,avg_ndcg,avg_latency_ms
mpnet,all-mpnet-base-v2,Better general purpose embeddings,18756.043576955795,0.004296455424274973,0.018796992481203006,0.006892230576441103,0.006892230576441102,0.022556390977443608,0.013166955362797524,163.85701545199058
pubmedbert,pritamdeka/S-PubMedBert-MS-MARCO,Medical domain specific,912.3798973560333,0.0032223415682062296,0.018796992481203006,0.005430242272347535,0.013784461152882205,0.022556390977443608,0.014186863212289787,78.75103520271473
baseline_minilm,all-MiniLM-L6-v2,General purpose (current baseline),188.80438327789307,0.0021482277121374865,0.015037593984962405,0.0037593984962406013,0.0040100250626566416,0.015037593984962405,0.006668066219808584,65.45053030315198
biobert,dmis-lab/biobert-base-cased-v1.2,Biomedical domain specific,1235.3593549728394,0.0010741138560687433,0.007518796992481203,0.0018796992481203006,0.0037593984962406013,0.007518796992481203,0.0047438327336199815,81.68123897753264
